epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2093.21,0.49047,0.53767,0.90478,0.85607,0.8148,0.86794,0.66867,0.78189,0.97784,1.09498,0.00121591,0.00121591,0.00121591
43,2141.8,0.50533,0.55365,0.90753,0.92361,0.78767,0.88136,0.68357,0.8068,0.94756,1.10238,0.00120491,0.00120491,0.00120491
44,2190.23,0.51364,0.54698,0.91692,0.83526,0.83343,0.89974,0.7054,0.77369,0.89128,1.08553,0.00119391,0.00119391,0.00119391
45,2239.63,0.48173,0.54795,0.91261,0.86888,0.81699,0.91645,0.72217,0.746,0.83067,1.06614,0.0011829,0.0011829,0.0011829
46,2289.56,0.51066,0.54226,0.90837,0.94226,0.82192,0.93206,0.71173,0.763,0.81801,1.07213,0.0011719,0.0011719,0.0011719
47,2339.92,0.48808,0.52531,0.90964,0.84933,0.89726,0.92166,0.72439,0.77861,0.81977,1.07746,0.0011609,0.0011609,0.0011609
48,2388.86,0.53226,0.52456,0.90949,0.93213,0.78767,0.92135,0.69734,0.80521,0.87722,1.10704,0.0011499,0.0011499,0.0011499
49,2438.96,0.48367,0.51738,0.89713,0.93063,0.80137,0.92491,0.71337,0.77417,0.8401,1.08526,0.00113889,0.00113889,0.00113889
50,2489.95,0.47388,0.51837,0.89973,0.91119,0.82877,0.91753,0.71918,0.7512,0.811,1.06447,0.00112789,0.00112789,0.00112789
51,2539.32,0.48431,0.49598,0.90427,0.87833,0.8406,0.91701,0.73028,0.73446,0.78313,1.04673,0.00111689,0.00111689,0.00111689
52,2589.26,0.43006,0.45715,0.8648,0.90619,0.86017,0.93136,0.72659,0.75097,0.75231,1.07418,0.00110589,0.00110589,0.00110589
53,2638.89,0.46901,0.45676,0.88864,0.86974,0.86893,0.92451,0.71018,0.79628,0.75053,1.10917,0.00109489,0.00109489,0.00109489
54,2688,0.46826,0.48327,0.90571,0.9052,0.83562,0.92269,0.70042,0.82284,0.74263,1.13825,0.00108388,0.00108388,0.00108388
55,2736.93,0.50865,0.48804,0.90201,0.87708,0.87974,0.93286,0.69486,0.85302,0.76106,1.16148,0.00107288,0.00107288,0.00107288
56,2787.71,0.46382,0.48621,0.90288,0.86578,0.83948,0.91246,0.66564,0.9241,0.83416,1.19512,0.00106188,0.00106188,0.00106188
57,2838.38,0.49344,0.47112,0.90488,0.87194,0.83944,0.90157,0.68052,0.88125,0.81772,1.16254,0.00105088,0.00105088,0.00105088
58,2888.02,0.46445,0.45507,0.88659,0.88706,0.85616,0.91758,0.69762,0.84861,0.77053,1.14432,0.00103987,0.00103987,0.00103987
59,2937.29,0.46717,0.45372,0.89253,0.92452,0.83894,0.92426,0.69241,0.86095,0.74098,1.16829,0.00102887,0.00102887,0.00102887
60,2987.96,0.44007,0.44719,0.88207,0.89463,0.86301,0.92579,0.696,0.84324,0.73801,1.17696,0.00101787,0.00101787,0.00101787
61,3039.26,0.4668,0.45312,0.89399,0.8794,0.89041,0.93658,0.7076,0.79958,0.74897,1.11438,0.00100687,0.00100687,0.00100687
62,3089.21,0.47216,0.46172,0.89955,0.85651,0.89726,0.9305,0.71188,0.78838,0.7447,1.07673,0.000995866,0.000995866,0.000995866
63,3138.63,0.49985,0.47642,0.89361,0.88124,0.86301,0.93841,0.72382,0.78894,0.72159,1.08827,0.000984864,0.000984864,0.000984864
64,3186.85,0.47037,0.4527,0.90705,0.86848,0.87671,0.93158,0.69397,0.85704,0.73241,1.14023,0.000973861,0.000973861,0.000973861
65,3234.12,0.44818,0.44698,0.88915,0.88612,0.87671,0.93998,0.70705,0.8388,0.70505,1.12558,0.000962859,0.000962859,0.000962859
