epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,703.434,1.00781,0.94251,1.08392,0.78088,0.78778,0.84465,0.53284,1.37118,1.00203,1.16465,0.000990365,0.000990365,0.000990365
43,719.814,0.99178,0.91362,1.07381,0.81758,0.77263,0.85233,0.54695,1.3173,1.00999,1.15178,0.000973861,0.000973861,0.000973861
44,735.913,1.01987,0.91854,1.06994,0.81148,0.79597,0.84475,0.53727,1.36761,1.01843,1.18585,0.000957358,0.000957358,0.000957358
45,751.908,1.01068,0.93543,1.08892,0.80704,0.8092,0.84443,0.53332,1.40318,1.00201,1.1909,0.000940855,0.000940855,0.000940855
46,768.211,1.05333,0.95537,1.10799,0.7765,0.83411,0.83067,0.48312,1.59966,1.03672,1.27532,0.000924352,0.000924352,0.000924352
47,784.309,1.02683,0.93994,1.0759,0.79107,0.80011,0.81824,0.48361,1.54422,1.06214,1.21659,0.000907848,0.000907848,0.000907848
48,800.791,1.05845,0.96548,1.10095,0.79441,0.82784,0.86471,0.53009,1.31339,1.03838,1.09997,0.000891345,0.000891345,0.000891345
49,816.876,1.01873,0.9502,1.09462,0.79682,0.82539,0.8726,0.55014,1.18807,1.00865,1.05157,0.000874842,0.000874842,0.000874842
50,833.342,0.99702,0.90741,1.06334,0.81764,0.80873,0.85588,0.55382,1.18818,0.98587,1.05009,0.000858338,0.000858338,0.000858338
51,849.676,1.01311,0.92898,1.08896,0.80599,0.83771,0.85241,0.54413,1.28221,0.99229,1.09537,0.000841835,0.000841835,0.000841835
52,866.23,1.07279,0.97153,1.11661,0.8135,0.81527,0.84991,0.54576,1.266,0.98304,1.0911,0.000825332,0.000825332,0.000825332
53,882.602,0.98342,0.9055,1.06663,0.81435,0.83846,0.86226,0.56009,1.18311,0.97181,1.06245,0.000808828,0.000808828,0.000808828
54,899.133,0.95584,0.90978,1.05984,0.81993,0.8383,0.87419,0.56016,1.10826,0.98163,1.02393,0.000792325,0.000792325,0.000792325
55,915.146,0.96013,0.87914,1.07374,0.82081,0.82484,0.87165,0.55979,1.12814,0.99358,1.02417,0.000775822,0.000775822,0.000775822
56,931.361,0.9456,0.89968,1.06849,0.82915,0.80172,0.86408,0.54625,1.24279,1.00866,1.06912,0.000759318,0.000759318,0.000759318
57,947.601,0.97596,0.8874,1.08077,0.82193,0.80967,0.85141,0.51731,1.3127,1.02845,1.09742,0.000742815,0.000742815,0.000742815
58,964.15,0.98515,0.90832,1.05907,0.81774,0.8176,0.84669,0.52553,1.28582,0.99672,1.08318,0.000726312,0.000726312,0.000726312
59,980.359,0.96089,0.92186,1.06522,0.86015,0.78535,0.8552,0.5415,1.16555,0.96872,1.04445,0.000709809,0.000709809,0.000709809
60,996.494,0.9606,0.86157,1.04814,0.84306,0.76751,0.85424,0.54457,1.08873,0.9759,1.01709,0.000693305,0.000693305,0.000693305
61,1012.7,0.97638,0.88684,1.06604,0.79058,0.77598,0.86157,0.53802,1.08949,1.01271,1.01844,0.000676802,0.000676802,0.000676802
62,1028.88,0.95252,0.86896,1.05903,0.79538,0.78165,0.85669,0.54185,1.16731,1.04672,1.04157,0.000660299,0.000660299,0.000660299
63,1045.21,0.98206,0.92056,1.09239,0.80198,0.7815,0.86608,0.53706,1.29587,1.01272,1.09371,0.000643795,0.000643795,0.000643795
64,1061.35,0.99164,0.86904,1.06973,0.80323,0.79192,0.85947,0.53003,1.36055,0.97537,1.12271,0.000627292,0.000627292,0.000627292
65,1077.43,0.96043,0.85988,1.05618,0.79745,0.82523,0.86928,0.54455,1.3061,0.94,1.09158,0.000610789,0.000610789,0.000610789
66,1093.76,0.97974,0.91306,1.08991,0.81107,0.82934,0.87397,0.56543,1.18324,0.91762,1.0313,0.000594286,0.000594286,0.000594286
67,1110.09,0.96774,0.87765,1.06982,0.79937,0.83097,0.87879,0.57855,1.11354,0.90268,1.00188,0.000577782,0.000577782,0.000577782
68,1126.49,0.96656,0.88064,1.07416,0.79041,0.82941,0.87268,0.57193,1.11005,0.90364,0.99677,0.000561279,0.000561279,0.000561279
69,1142.4,0.93548,0.84287,1.05682,0.80198,0.82586,0.87128,0.57403,1.1412,0.9072,1.01112,0.000544776,0.000544776,0.000544776
70,1158.66,0.95975,0.86379,1.06717,0.80679,0.8257,0.86016,0.55199,1.23923,0.9174,1.05405,0.000528272,0.000528272,0.000528272
71,1174.91,0.96898,0.84805,1.05738,0.82851,0.79449,0.84083,0.53978,1.3074,0.9272,1.08771,0.000511769,0.000511769,0.000511769
72,1190.85,0.91167,0.80802,1.02881,0.81522,0.79239,0.83913,0.53443,1.30628,0.93103,1.09112,0.000495266,0.000495266,0.000495266
73,1206.87,0.90705,0.78805,1.01337,0.79869,0.82682,0.86204,0.55112,1.23656,0.91214,1.06696,0.000478762,0.000478762,0.000478762
74,1222.71,0.9069,0.80341,1.03271,0.79731,0.82834,0.86187,0.56709,1.15101,0.90231,1.03423,0.000462259,0.000462259,0.000462259
75,1239.34,0.97662,0.87768,1.08007,0.80904,0.8098,0.85521,0.56319,1.12141,0.89984,1.02115,0.000445756,0.000445756,0.000445756
76,1255.34,0.92205,0.83911,1.05554,0.80072,0.81606,0.84844,0.55686,1.13495,0.90211,1.02082,0.000429253,0.000429253,0.000429253
77,1271.79,0.97094,0.86983,1.07,0.81117,0.82492,0.84954,0.54755,1.19708,0.92145,1.04013,0.000412749,0.000412749,0.000412749
78,1287.89,0.93003,0.83824,1.04738,0.81259,0.81464,0.84132,0.53714,1.26074,0.94751,1.06168,0.000396246,0.000396246,0.000396246
79,1304.39,0.9567,0.85111,1.06501,0.8284,0.82134,0.84528,0.53817,1.27385,0.94332,1.06541,0.000379743,0.000379743,0.000379743
80,1320.5,0.89733,0.84499,1.03892,0.82821,0.82304,0.86308,0.55677,1.24856,0.92769,1.06199,0.000363239,0.000363239,0.000363239
81,1336.82,0.93782,0.82041,1.06077,0.80455,0.83182,0.86758,0.56647,1.2048,0.92188,1.05067,0.000346736,0.000346736,0.000346736
82,1353.06,0.90943,0.79438,1.03143,0.79037,0.82803,0.86696,0.5696,1.1689,0.91179,1.04005,0.000330233,0.000330233,0.000330233
83,1369.89,1.01913,0.90395,1.09925,0.82106,0.81166,0.86609,0.57594,1.15514,0.90768,1.03715,0.000313729,0.000313729,0.000313729
84,1386.01,0.87508,0.788,1.00479,0.81699,0.8337,0.8651,0.57943,1.16297,0.90892,1.03948,0.000297226,0.000297226,0.000297226
85,1402.49,0.96417,0.83676,1.07501,0.81179,0.83708,0.86447,0.57399,1.19318,0.90276,1.05143,0.000280723,0.000280723,0.000280723
86,1418.8,0.94505,0.83707,1.0601,0.81825,0.82667,0.8688,0.57538,1.22803,0.89336,1.06633,0.00026422,0.00026422,0.00026422
