epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5151.97,0.95608,0.73723,1.13417,0.85019,0.84827,0.89681,0.58175,1.20118,0.77986,1.11186,0.00121591,0.00121591,0.00121591
43,5274.68,0.91884,0.72595,1.08408,0.85313,0.88047,0.89004,0.55582,1.28215,0.86683,1.11239,0.00120491,0.00120491,0.00120491
44,5395.03,0.91166,0.70752,1.07712,0.85359,0.86691,0.91192,0.55347,1.4221,0.85593,1.17503,0.00119391,0.00119391,0.00119391
45,5515.89,0.92976,0.74054,1.10171,0.89158,0.84764,0.9309,0.59163,1.35829,0.76016,1.16115,0.0011829,0.0011829,0.0011829
46,5636.66,0.89047,0.71186,1.08887,0.84238,0.86492,0.94065,0.62673,1.13232,0.79849,1.05831,0.0011719,0.0011719,0.0011719
47,5758.88,0.93242,0.73789,1.10989,0.81698,0.8783,0.91746,0.60903,1.11141,0.80947,1.02468,0.0011609,0.0011609,0.0011609
48,5879.88,0.89034,0.69305,1.07894,0.83308,0.852,0.89435,0.56644,1.21032,0.806,1.06444,0.0011499,0.0011499,0.0011499
49,6000.61,0.93278,0.70371,1.0863,0.82959,0.87711,0.92421,0.57154,1.19057,0.81157,1.05924,0.00113889,0.00113889,0.00113889
50,6121.93,0.94106,0.76198,1.10068,0.80974,0.78983,0.8579,0.52033,1.17345,0.92369,1.10998,0.00112789,0.00112789,0.00112789
51,6243.1,0.90933,0.70486,1.0784,0.81402,0.82492,0.88641,0.55595,1.16513,0.90999,1.11708,0.00111689,0.00111689,0.00111689
52,6364.59,0.85503,0.6874,1.03518,0.89435,0.84748,0.91691,0.56337,1.25984,0.81032,1.10428,0.00110589,0.00110589,0.00110589
53,6484.65,0.91491,0.71278,1.07849,0.82324,0.87409,0.88434,0.53076,1.35295,0.79047,1.14663,0.00109489,0.00109489,0.00109489
54,6605.4,0.8167,0.5998,1.03176,0.83744,0.88623,0.90878,0.5699,1.22813,0.77275,1.09424,0.00108388,0.00108388,0.00108388
55,6726.29,0.85445,0.6784,1.06584,0.81409,0.88886,0.89256,0.5545,1.30987,0.76722,1.14349,0.00107288,0.00107288,0.00107288
56,6849.2,0.83779,0.63733,1.05027,0.88113,0.83647,0.89755,0.5524,1.36081,0.7686,1.17085,0.00106188,0.00106188,0.00106188
57,6971.09,0.84603,0.64942,1.05428,0.87884,0.84803,0.89579,0.57789,1.24394,0.75771,1.09991,0.00105088,0.00105088,0.00105088
58,7092,0.79405,0.60369,1.01431,0.87512,0.88701,0.92401,0.61518,1.17932,0.757,1.07376,0.00103987,0.00103987,0.00103987
59,7213.05,0.8738,0.64028,1.06755,0.92053,0.82474,0.91056,0.59622,1.29064,0.81876,1.12712,0.00102887,0.00102887,0.00102887
60,7333.43,0.81801,0.59972,1.03747,0.88806,0.8791,0.92021,0.59534,1.30232,0.82685,1.13503,0.00101787,0.00101787,0.00101787
61,7455.14,0.80052,0.61988,1.03644,0.87899,0.8972,0.91872,0.60885,1.20324,0.76226,1.07443,0.00100687,0.00100687,0.00100687
62,7576.71,0.87976,0.66764,1.08916,0.85109,0.89043,0.92015,0.59448,1.22502,0.7566,1.08097,0.000995866,0.000995866,0.000995866
63,7698.87,0.87601,0.67936,1.06185,0.89035,0.85037,0.89678,0.55332,1.39934,0.79107,1.1875,0.000984864,0.000984864,0.000984864
64,7819.64,0.872,0.63795,1.06867,0.86971,0.86619,0.89406,0.55567,1.35516,0.81693,1.16521,0.000973861,0.000973861,0.000973861
65,7942.37,0.89522,0.67742,1.06743,0.88306,0.86295,0.89873,0.59324,1.18343,0.74632,1.0529,0.000962859,0.000962859,0.000962859
66,8063.99,0.8443,0.63668,1.0435,0.89165,0.85012,0.91938,0.60272,1.21394,0.74063,1.0708,0.000951857,0.000951857,0.000951857
