epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,160.428,1.9706,1.97933,1.08217,1,0.0829,0.1405,0.0684,1.8871,3.13014,1.04195,0.00099314,0.00099314,0.00099314
44,164.112,1.88262,1.89709,1.05076,1,0.0829,0.1405,0.0684,1.8871,3.13014,1.04195,0.000999282,0.000999282,0.000999282
45,167.78,1.52704,1.56088,0.98019,1,0.0829,0.1405,0.0684,1.8871,3.13014,1.04195,0.00100463,0.00100463,0.00100463
46,171.385,1.55033,1.64414,1.00162,0.26153,0.11484,0.10805,0.05522,1.9488,2.96024,1.02313,0.00100919,0.00100919,0.00100919
47,175.057,1.94228,1.73414,1.02087,0.26153,0.11484,0.10805,0.05522,1.9488,2.96024,1.02313,0.00101296,0.00101296,0.00101296
48,178.621,1.5945,1.68594,0.98068,0.26153,0.11484,0.10805,0.05522,1.9488,2.96024,1.02313,0.00101593,0.00101593,0.00101593
49,182.341,1.96669,1.88419,1.08591,0.26153,0.11484,0.10805,0.05522,1.9488,2.96024,1.02313,0.00101811,0.00101811,0.00101811
50,186.097,1.91886,1.98206,1.09985,0.72958,0.17511,0.29861,0.14152,1.95484,2.76711,1.00046,0.0010195,0.0010195,0.0010195
51,189.732,1.60215,1.77043,1.12468,0.72958,0.17511,0.29861,0.14152,1.95484,2.76711,1.00046,0.00101,0.00101,0.00101
52,193.451,1.60643,1.68327,1.00194,0.72958,0.17511,0.29861,0.14152,1.95484,2.76711,1.00046,0.0009902,0.0009902,0.0009902
53,197.156,1.6494,1.87964,1.08814,0.72958,0.17511,0.29861,0.14152,1.95484,2.76711,1.00046,0.0009704,0.0009704,0.0009704
54,200.901,1.52509,1.55663,1.01927,0.71279,0.25806,0.38415,0.19222,1.74061,2.5668,0.97213,0.0009506,0.0009506,0.0009506
55,204.504,1.57619,1.83029,1.05799,0.71279,0.25806,0.38415,0.19222,1.74061,2.5668,0.97213,0.0009308,0.0009308,0.0009308
56,208.131,1.66416,1.65049,1.01908,0.71279,0.25806,0.38415,0.19222,1.74061,2.5668,0.97213,0.000911,0.000911,0.000911
57,211.869,1.80512,1.71433,1.005,0.71279,0.25806,0.38415,0.19222,1.74061,2.5668,0.97213,0.0008912,0.0008912,0.0008912
58,215.577,1.57423,1.64006,0.99659,0.55728,0.22581,0.36878,0.16933,1.77659,2.49479,0.97427,0.0008714,0.0008714,0.0008714
59,219.269,1.6336,1.78394,1.05695,0.55728,0.22581,0.36878,0.16933,1.77659,2.49479,0.97427,0.0008516,0.0008516,0.0008516
60,222.861,1.62176,1.47338,0.94842,0.55728,0.22581,0.36878,0.16933,1.77659,2.49479,0.97427,0.0008318,0.0008318,0.0008318
61,226.584,1.62881,1.59678,1.02333,0.55728,0.22581,0.36878,0.16933,1.77659,2.49479,0.97427,0.000812,0.000812,0.000812
62,230.3,1.76131,1.74161,0.99081,0.61416,0.35965,0.33928,0.14764,1.79706,2.50149,0.97273,0.0007922,0.0007922,0.0007922
63,233.871,1.50031,1.55341,0.98349,0.61416,0.35965,0.33928,0.14764,1.79706,2.50149,0.97273,0.0007724,0.0007724,0.0007724
64,237.668,1.67501,1.62608,1.06478,0.61416,0.35965,0.33928,0.14764,1.79706,2.50149,0.97273,0.0007526,0.0007526,0.0007526
65,241.377,1.75651,1.79071,1.00698,0.61416,0.35965,0.33928,0.14764,1.79706,2.50149,0.97273,0.0007328,0.0007328,0.0007328
66,245.112,1.69159,1.64663,1.02372,0.41947,0.30336,0.28719,0.13181,1.79788,2.52549,0.96674,0.000713,0.000713,0.000713
67,248.874,1.48117,1.45892,0.97659,0.41947,0.30336,0.28719,0.13181,1.79788,2.52549,0.96674,0.0006932,0.0006932,0.0006932
68,252.72,1.51017,1.39106,0.98512,0.41947,0.30336,0.28719,0.13181,1.79788,2.52549,0.96674,0.0006734,0.0006734,0.0006734
69,256.611,1.52414,1.47655,0.98685,0.41947,0.30336,0.28719,0.13181,1.79788,2.52549,0.96674,0.0006536,0.0006536,0.0006536
70,260.325,1.41377,1.45658,0.98196,0.64329,0.34933,0.41181,0.19681,1.65952,2.33105,0.94396,0.0006338,0.0006338,0.0006338
71,264.048,1.6436,1.46996,1.01194,0.64329,0.34933,0.41181,0.19681,1.65952,2.33105,0.94396,0.000614,0.000614,0.000614
72,267.67,1.59347,1.49223,0.96655,0.64329,0.34933,0.41181,0.19681,1.65952,2.33105,0.94396,0.0005942,0.0005942,0.0005942
73,271.239,1.51876,1.38529,0.9418,0.64329,0.34933,0.41181,0.19681,1.65952,2.33105,0.94396,0.0005744,0.0005744,0.0005744
74,274.886,1.38963,1.37195,0.96896,0.86834,0.42582,0.56011,0.26764,1.61006,2.14998,0.93501,0.0005546,0.0005546,0.0005546
75,278.435,1.71768,1.70252,1.02891,0.86834,0.42582,0.56011,0.26764,1.61006,2.14998,0.93501,0.0005348,0.0005348,0.0005348
76,282.069,1.49889,1.45197,0.98286,0.86834,0.42582,0.56011,0.26764,1.61006,2.14998,0.93501,0.000515,0.000515,0.000515
77,285.787,1.56648,1.43168,1.00438,0.86834,0.42582,0.56011,0.26764,1.61006,2.14998,0.93501,0.0004952,0.0004952,0.0004952
78,289.5,1.503,1.39207,0.96249,0.8792,0.47004,0.56305,0.29455,1.61335,2.13479,0.93277,0.0004754,0.0004754,0.0004754
79,293.164,1.61636,1.56607,0.96146,0.8792,0.47004,0.56305,0.29455,1.61335,2.13479,0.93277,0.0004556,0.0004556,0.0004556
80,296.854,1.62722,1.49851,1.01067,0.8792,0.47004,0.56305,0.29455,1.61335,2.13479,0.93277,0.0004358,0.0004358,0.0004358
81,300.519,1.45415,1.34392,0.95767,0.8792,0.47004,0.56305,0.29455,1.61335,2.13479,0.93277,0.000416,0.000416,0.000416
82,304.132,1.66909,1.7318,0.99146,0.90397,0.45161,0.55447,0.28664,1.63547,2.13827,0.93573,0.0003962,0.0003962,0.0003962
83,307.684,1.22925,1.19944,0.92086,0.90397,0.45161,0.55447,0.28664,1.63547,2.13827,0.93573,0.0003764,0.0003764,0.0003764
84,311.322,1.29263,1.23013,0.92952,0.90397,0.45161,0.55447,0.28664,1.63547,2.13827,0.93573,0.0003566,0.0003566,0.0003566
85,315.016,1.64574,1.58086,1.00639,0.90397,0.45161,0.55447,0.28664,1.63547,2.13827,0.93573,0.0003368,0.0003368,0.0003368
86,318.642,1.28501,1.25175,0.93501,0.86785,0.45161,0.55752,0.29336,1.63266,2.10315,0.9402,0.000317,0.000317,0.000317
87,322.353,1.55187,1.43641,0.92404,0.86785,0.45161,0.55752,0.29336,1.63266,2.10315,0.9402,0.0002972,0.0002972,0.0002972
88,325.976,1.38328,1.44384,0.98308,0.86785,0.45161,0.55752,0.29336,1.63266,2.10315,0.9402,0.0002774,0.0002774,0.0002774
89,329.601,1.41501,1.26982,0.94036,0.86785,0.45161,0.55752,0.29336,1.63266,2.10315,0.9402,0.0002576,0.0002576,0.0002576
90,333.324,1.54167,1.31186,0.98051,0.86316,0.3871,0.57594,0.29687,1.63345,2.04849,0.94391,0.0002378,0.0002378,0.0002378
91,336.847,1.34592,1.49564,0.91451,0.86316,0.3871,0.57594,0.29687,1.63345,2.04849,0.94391,0.000218,0.000218,0.000218
92,340.38,1.27978,1.38757,0.91606,0.86316,0.3871,0.57594,0.29687,1.63345,2.04849,0.94391,0.0001982,0.0001982,0.0001982
93,344.26,1.49618,1.69227,0.92309,0.86316,0.3871,0.57594,0.29687,1.63345,2.04849,0.94391,0.0001784,0.0001784,0.0001784
94,347.824,1.1231,1.22611,0.9109,0.90714,0.41935,0.58758,0.30284,1.63297,1.95736,0.94614,0.0001586,0.0001586,0.0001586
95,351.373,1.35348,1.46777,0.90702,0.90714,0.41935,0.58758,0.30284,1.63297,1.95736,0.94614,0.0001388,0.0001388,0.0001388
96,354.94,1.15902,1.37474,0.94075,0.90714,0.41935,0.58758,0.30284,1.63297,1.95736,0.94614,0.000119,0.000119,0.000119
97,358.544,1.13311,1.40035,0.89553,0.90714,0.41935,0.58758,0.30284,1.63297,1.95736,0.94614,9.92e-05,9.92e-05,9.92e-05
98,362.155,1.29096,1.30625,0.91284,0.88611,0.45161,0.60873,0.31166,1.60253,1.9068,0.94124,7.94e-05,7.94e-05,7.94e-05
99,365.988,1.22505,1.38962,0.91918,0.88611,0.45161,0.60873,0.31166,1.60253,1.9068,0.94124,5.96e-05,5.96e-05,5.96e-05
100,369.813,1.35594,1.59403,0.90007,0.88611,0.45161,0.60873,0.31166,1.60253,1.9068,0.94124,3.98e-05,3.98e-05,3.98e-05
